ID,Title,Keywords,Link,Embedding Dim
0,Mice in Bion-M 1 space mission: training and selection,"mice bion space, mice bion, mice, bion space mission, bion space, bion, space mission training, space mission",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,1536
1,"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21","microgravity induces pelvic, microgravity induces, loss osteoclastic activity, osteolysis osteoblastic cell, osteoclastic activity osteocytic, induces pelvic bone, bone loss osteoclastic, osteoclastic activity",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,1536
2,Stem Cell Health and Tissue Regeneration in Microgravity,"tissue regeneration microgravity, regeneration microgravity, stem cell, microgravity, health tissue regeneration, tissue regeneration, stem cell health, regeneration",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,1536
3,Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,"microgravity reduces differentiation, embryonic stem cells, potential embryonic stem, stem cells, microgravity, embryonic stem, microgravity reduces, regenerative potential embryonic",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,1536
4,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,"pcr analysis gene, rna isolation multiplex, rna isolation, novel rna isolation, analysis gene expression, microgravity validation novel, pcr analysis, microgravity validation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,1536
5,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,"genes heart, related genes heart, oxidative stress cell, key oxidative stress, oxidative stress, expression key oxidative, spaceflight modulates expression, key oxidative",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,1536
6,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,"radiation exposure skeletal, radiation exposure, effects oxidative stress, oxidative stress, oxidative stress response, radiation, exposure skeletal, effects oxidative",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,1536
7,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,"exploration medicine nasa, exploration medicine, medicine nasa life, medicine nasa, exploration habitation missions, nasa life sciences, research human exploration, human exploration habitation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,1536
8,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,"vertebrae assess bone, animal vertebrae assess, assess bone quality, assess bone, vertebrae assess, animal vertebrae, small animal vertebrae, bone quality",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,1536
9,Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,"ionizing radiation collagen, radiation collagen, radiation collagen structure, vivo ionizing radiation, properties mouse vertebrae, collagen structure bone, mouse vertebrae, collagen structure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,1536
10,Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,"p70s6 kinase mechanical, response p70s6 kinase, p70s6 kinase, kinase mechanical, gamma sarcoglycan alters, skeletal muscle, murine skeletal muscle, kinase mechanical perturbation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,1536
11,AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,"functions pollen development, pollen development, development pollen tube, pollen development pollen, pollen tube growth, development pollen, functions pollen, atrabd2b atrabd2c overlapping",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,1536
12,TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,"tno1 involved salt, vacuolar trafficking arabidopsis, trafficking arabidopsis, salt tolerance vacuolar, tno1 involved, tno1, tolerance vacuolar trafficking, arabidopsis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,1536
13,Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,"golgi network snare, network snare family, trans golgi network, snare family, snare family members, redundancy trans golgi, network snare, golgi network",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,1536
14,Root growth movements: Waving and skewing.,"root growth movements, root growth, growth movements waving, growth movements, root, growth, movements waving skewing, waving skewing",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,1536
15,Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,"golgi network protein, gravitropism lateral root, dependent trans golgi, network protein tno1, protein tno1, gravitropism lateral, trans golgi network, lateral root emergence",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,1536
16,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.","root skewing arabidopsis, skewing arabidopsis, skewing arabidopsis thaliana, snare interacting protein, protein modulates root, arabidopsis, arabidopsis thaliana, modulates root skewing",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,1536
17,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,"drosophila sun protein, sun protein spag4, protein yuri gagarin, protein spag4 cooperates, coil protein yuri, protein spag4, drosophila sun, spag4 cooperates coiled",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,1536
18,Toll mediated infection response is altered by gravity and spaceflight in Drosophila,"gravity spaceflight drosophila, toll mediated infection, spaceflight drosophila, toll mediated, drosophila, gravity spaceflight, toll, altered gravity spaceflight",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,1536
19,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,"dysregulation mouse liver, lipid dysregulation mouse, lipid dysregulation, mouse liver, theme lipid dysregulation, lipid, dysregulation mouse, liver",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,1536
20,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,"space radiation cardiovascular, radiation cardiovascular activation, radiation cardiovascular, cardiovascular activation fyn, fyn reactive oxygen, space radiation, radiation, reactive oxygen",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,1536
21,FAIRness and usability for open-access omics data systems.,"omics data systems, fairness usability open, open access omics, fairness usability, access omics, access omics data, omics data, usability open access",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,1536
